Call Type,Submit Time,LATENCY,Account Name,SYSTEM ID
2,2025-06-11-08:39:48,2025-06-11-08:39:51,TATA STEEL LIMITED 01,
1,2025-06-11-08:39:51,-,HEALTH ARX TECHNOLOGIES PVT LTD,
1,2025-06-11-08:39:51,-,VALUEMOB,VALUEMO
2,2025-06-11-08:39:50,2025-06-11-08:39:51,TATA STEEL LIMITED 01,
2,2025-06-11-08:39:48,2025-06-11-08:39:51,SPHEREEDGE,Roupsura3
2,2025-06-11-08:39:49,2025-06-11-08:39:51,Spherealpha02,routenwalfa06
1,2025-06-11-08:39:51,-,Tatasky01,tsky03
1,2025-06-11-08:39:51,-,Tatasky01,tsky03
2,2025-06-11-08:39:49,2025-06-11-08:39:51,Spherealpha03,routenwalfa15
2,2025-06-11-08:39:48,2025-06-11-08:39:51,SPHEREEDGE,Roupsura3
1,2025-06-11-08:39:51,-,SATHYTIP,SATHYT
2,2025-06-11-08:39:50,2025-06-11-08:39:51,Tatasky01,tsky04
1,2025-06-11-08:39:51,-,Spherealpha02,routenwalfa06
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
2,2025-06-11-08:39:48,2025-06-11-08:39:51,Tatasky01,tsky03
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
2,2025-06-11-08:39:50,2025-06-11-08:39:51,Tatasky02,tsky07
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,SPHEREEDGE,Roupsura2
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro16
1,2025-06-11-08:39:51,-,Spherepro01,routePro15
1,2025-06-11-08:39:52,-,Spherepro01,routePro16
1,2025-06-11-08:39:52,-,Spherepro01,routePro16
1,2025-06-11-08:39:52,-,TATA STEEL LIMITED 01,
1,2025-06-11-08:39:52,-,TATA STEEL LIMITED 01,
1,2025-06-11-08:39:52,-,Master Capital Services Ltd,
2,2025-06-11-08:39:46,2025-06-11-08:39:52,Spherepro01,routePro15
1,2025-06-11-08:39:52,-,TVS MOTOR COMPANY LIMITED 01,
1,2025-06-11-08:39:52,-,TVS MOTOR COMPANY LIMITED 01,
1,2025-06-11-08:39:52,-,TVS MOTOR COMPANY LIMITED 01,
2,2025-06-11-08:39:50,2025-06-11-08:39:52,Tatasky01,tsky01
1,2025-06-11-08:39:52,-,VALUEMOB,VALUEMO
2,2025-06-11-08:39:46,2025-06-11-08:39:52,Spherepro01,routePro15
2,2025-06-11-08:39:51,2025-06-11-08:39:52,VALUEMOB,VALUEMO
2,2025-06-11-08:39:51,2025-06-11-08:39:52,HEALTH ARX TECHNOLOGIES PVT LTD,
2,2025-06-11-08:39:49,2025-06-11-08:39:52,SPHEREEDGE,Roupsura4
2,2025-06-11-08:39:49,2025-06-11-08:39:52,Spherealpha02,routenwalfa06
2,2025-06-11-08:39:49,2025-06-11-08:39:52,SPHEREEDGE,Roupsura5
2,2025-06-11-08:39:48,2025-06-11-08:39:52,Tatasky01,tsky03
2,2025-06-11-08:39:49,2025-06-11-08:39:52,Tatasky01,tsky01
